gauge,gauge_id,bundesland,stream,receiving_water,distance_to_mouth,northing,easting,position_at_watercourse_official,pegelnullpunkt_m,height_system,timeseries_available,basin_area,drain_length,stream_length
lieske,582060,sn,spree,,296.98,5686690.0,467276.0,300.6,129.51,nn,,774587736.0,15702.1952,41643.65833
litschen,583345,sn,kleine_spree,spree,20.0,5691428.0,458630.0,22.2,124.17,hn,,124511598.8,6295.496235,17713.82167
lohsa_i_up,583315,sn,ableiter_lohsa_i,kleine_spree,1.0,5694407.0,457030.0,0.7,121.63,nn,x,128591323.5,6397.803494,20352.90192
lohsa_i_zp,583312,sn,ableiter_lohsa_i,kleine_spree,5.0,5691438.0,458480.0,0.2,123.83,hn,x,124391606.9,6292.462017,17422.77234
lomske,583342,sn,lomschanke,kleine_spree,3.0,5681048.0,460669.0,3.5,140.89,nhn92,,32597800.52,3221.21129,7306.202426
luebben_zusammenfluss,5823800,bb,spree,,177.98,5757151.0,424368.0,,44.565,nn,x,4160559273.0,36391.58074,121247.7631
merzdorf_1,5845800,bb,hammergraben_1,malxe_spree,21.0,5736771.0,456897.0,,66.345,,x,5199649.162,1286.506795,3437.400392
merzdorf_2,5845601,bb,verlegtes_tranitzfliess,hammergraben_1,0.1,5736931.0,456957.0,,65.389,,,5119654.56,1276.572231,3587.044888
moellen_1,5869200,bb,samgase,schwielochsee,0.5,5770343.999703,447615.000095,,42.053,PNP_NN,x,53636380.98,4131.947522,14137.07312
mueschen_paulicks_muehle_nr_191,5836000,bb,greifenhainer_fliess,suedumfluter,3.0,5740268.0,438983.0,,45.03,,x,194466878.7,7867.701699,24353.26275
neusalza_spremberg,582005,sn,spree,,359.98,5654260.0,467451.0,367.16,305.49,nhn2016,,59355995.05,4346.676895,9333.782095
niedergurig,583330,sn,malschwitzer_kleine_spree,spree,7.0,5674406.0,463483.0,8.3,152.75,nhn92,,310579044.2,9942.855737,29953.03398
peitz,5845100,bb,malxe_spree,nordumfluter,15.0,5745121.0,459577.0,,57.943,,,168468632.9,7322.925054,14153.11147
pieskow,5869100,bb,pieskower_torfgraben,schwielochsee,1.4,5767655.00019,447402.999729,,41.914,PNP_NN,x,13559085.12,2077.496292,6773.342298
pretschen,5857600,bb,groeditscher_landgraben,pretzschener_spree,1.6,5771565.499482,433131.100008,,42.722,PNP_NN,x,91993792.87,5411.333823,16470.99144
ps_spreewitz_(uel_rlk),583364,sn,spree,,264.98,5707771.0,458521.0,,,,,1834756203.0,24166.52723,62902.13186
quitzdorf_up,583265,sn,schwarzer_schoeps,spree,29.0,5681808.0,482373.0,32.7,151.2,nhn92,x,9399365.794,1729.714154,4927.705977
radensdorf_1,5833801,bb,neues_buchholzer_fliess,buchholzer_fliess,4.0,5723671.0,442642.0,,,,,999932.5312,564.1705506,1855.22487
radensdorf_2,5833802,bb,koselmuehlenfliess,priorgraben,12.0,5723624.0,442660.0,,,,,999932.5312,564.1705506,1837.353557
ragow_2,5841801,bb,wudritz,spree,3.0,5749386.0,424088.0,,,,x,114672262.7,6041.631806,22123.77002
reichwalde_3,583223,sn,schwarzer_schoeps,spree,15.0,5691771.0,476055.0,16.6,131.56,nhn92,,263182242.2,9152.786984,34683.1091
ressen_stau_up,5857100,bb,ressener_muehlenfliess,schwielochsee,1.2,5765304.999956,442671.999782,,41.42,PNP_NN,x,98153377.27,5589.560837,15815.73948
saerichen,583290,sn,weisser_schoeps,schwarzer_schoeps,30.0,5680002.0,491976.0,32.6,169.37,nn,,138990621.8,6651.472695,22502.18583
schirgiswalde,582010,sn,spree,,346.98,5658743.0,460423.0,355.4,260.33,hn,,181747736.9,7606.056892,17358.71753
schmogrow_einlasswehr_nr_vi_up,5850100,bb,nordumfluter,spree,27.0,5743840.0,445523.0,,45.03,,,127991364.0,6382.861154,25417.2852
schmogrow_spreewehr_nr_vii_op,5821200,bb,spree,,210.98,5743788.0,445624.0,,45.03,nn,,128871304.6,6404.764657,25488.76537
schmogrow_spreewehr_nr_vii_up,5821300,bb,spree,,209.98,5743738.0,445530.0,,45.03,nn,x,127991364.0,6382.861154,25422.68006
schoenfeld,5838800,bb,dobra,suedumfluter,10.0,5740755.0,423597.0,,61.049,,,51996491.62,4068.291697,13904.98163
schoeps,583235,sn,schwarzer_schoeps,spree,52.0,5667091.0,482498.0,55.2,195.92,nhn92,,41917171.71,3652.759252,9180.008707
schuhlen_wiese,5857500,bb,rocher_muehlenfliess,spree,6.2,5768176.9999,438617.00008,,41.705,PNP_NN,x,53236407.96,4116.512475,11388.41264
spreewiese_op,582052,sn,spree,,308.78,5680019.0,467513.0,312.4,143.0,hn,,347776534.4,10521.44045,35318.24393
spreewiese_verteilerwehr,583329,sn,kleine_spree,spree,40.0,5680020.0,467515.0,37.6,143.0,hn,,347776534.4,10521.44045,35211.46667
spreewitz,582820,sn,spree,,265.98,5706802.0,458660.0,268.2,99.03,nn,,1827836670.0,24120.9138,61941.15152
spremberg,5820900,bb,spree,,256.98,5714178.0,456335.0,,91.519,,x,679954.1212,465.2269542,1694.188784
sprey,582080,sn,spree,,279.98,5697803.0,466798.0,283.6,114.11,nhn92,,1308951681.0,20412.06164,52588.7228
sproitz,583271,sn,schwarzer_schoeps,spree,28.0,5682071.0,482330.0,32.4,150.17,nhn92,,759948.7237,491.8324834,1739.471001
talsperre_spremberg_beckenpegel,5820901,bb,spree,,246.98,5723271.0,457754.0,,,,,1924710133.0,24751.85374,78247.21359
trebatsch_schleuse_op,5825200,bb,spree,,135.08,5771473.0,442054.0,,,,,319978.41,319.1430577,1490.168929
trebatsch_schleuse_up,5825300,bb,spree,,134.98,5771413.0,442081.0,,,,,319978.41,319.1430577,1383.282235
treppendorf,5844300,bb,berste,spree,3.0,5754596.0,421790.0,,48.25,nn,x,308659173.7,9912.076799,26209.63684
vetschau,5836900,bb,vetschauer_muehlenfliess,suedumfluter,6.0,5738342.0,435795.0,,56.408,,x,93433695.72,5453.51896,18416.40829
zl_rl_baerwalde,583356,sn,zuleiter_sb_baerwalde,schwarzer_schoeps,7.0,5690487.0,466155.0,,,,,792826505.4,15885.98485,45281.20039
